country_code,country,area_code,state,GMT_offset,DST,DST_range,geographic_description,tz_code,php_tz
1,'USA','972','TX','-6','Y','SSM-FSN','Texas','CST','America/Chicago'
1,'USA','973','NJ','-5','Y','SSM-FSN','New Jersey','EST','America/New_York'
1,'USA','975','MO','-6','Y','SSM-FSN','Missouri','CST','America/Chicago'
1,'USA','978','MA','-5','Y','SSM-FSN','Massachusetts','EST','America/New_York'
1,'USA','979','TX','-6','Y','SSM-FSN','Texas','CST','America/Chicago'
1,'USA','980','NC','-5','Y','SSM-FSN','North Carolina','EST','America/New_York'
1,'USA','983','CO','-7','Y','SSM-FSN','Colorado','MST','America/Denver'
1,'USA','984','NC','-5','Y','SSM-FSN','North Carolina','EST','America/New_York'
1,'USA','985','LA','-6','Y','SSM-FSN','Louisiana','CST','America/Chicago'
1,'USA','986','ID','-7','Y','SSM-FSN','Idaho','MST','America/Denver'
1,'USA','989','MI','-5','Y','SSM-FSN','Michigan','EST','America/New_York'
